time_point,hour,Temp,Phage,Biol rep,cfu_1,cfu_2,cfu_3,Dilution,cfu_avg,cfu_10ul,diltution_plus_two,CFU_ml
T5,5,40,No_phage,2,28,30,39,5,32.33333333,16.16666667,7,161666666.7
T5,5,40,No_phage,3,29,25,34,5,29.33333333,14.66666667,7,146666666.7
T5,5,40,pev2,1,3,3,3,1,3,1.5,3,1500
T5,5,40,pev2,2,1,2,3,1,2,1,3,1000
T5,5,40,pev2,3,54,74,54,3,60.66666667,30.33333333,5,3033333.333
T5,5,42,14_1,1,14,15,25,5,18,9,7,90000000
T5,5,42,14_1,2,35,38,36,5,36.33333333,18.16666667,7,181666666.7
T5,5,42,14_1,3,12,16,26,5,18,9,7,90000000
T5,5,42,luz19,1,10,14,15,1,13,6.5,3,6500
T5,5,42,luz19,2,13,10,28,1,17,8.5,3,8500
T5,5,42,luz19,3,0,0,0,1,0,0,3,0
T5,5,42,No_phage,1,3,9,9,5,7,3.5,7,35000000
T5,5,42,No_phage,2,17,19,19,5,18.33333333,9.166666667,7,91666666.67
T5,5,42,No_phage,3,24,13,19,5,18.66666667,9.333333333,7,93333333.33
T5,5,42,pev2,1,30,25,18,5,24.33333333,12.16666667,7,121666666.7
T5,5,42,pev2,2,42,36,48,5,42,21,7,210000000
T5,5,42,pev2,3,11,13,12,5,12,6,7,60000000
