Phage,Time,Temp,Rep,tr_1,tr_2,tr_3,Average,Dilution,PFU_ML,PFU_ML_round,Rel_PFU_ml
LUZ19,20,37,3,13,12,16,13.66666667,,13666.66667,13667,0.602941176
LUZ19,20,40,1,10,13,12,11.66666667,,11666.66667,11667,0.514705882
LUZ19,20,40,2,10,12,13,11.66666667,,11666.66667,11667,0.514705882
LUZ19,20,40,3,17,13,18,16,,16000,16000,0.705882353
LUZ19,20,42,1,11,13,13,12.33333333,,12333.33333,12333,0.544117647
LUZ19,20,42,2,14,14,15,14.33333333,,14333.33333,14333,0.632352941
LUZ19,20,42,3,16,12,11,13,,13000,13000,0.573529412
phage14_1,0,37,0,59,79,68,68.66666667,-3,68666.66667,68667,1
phage14_1,0,40,0,59,79,68,68.66666667,-3,68666.66667,68667,1
phage14_1,0,42,0,59,79,68,68.66666667,-3,68666.66667,68667,1
phage14_1,5,37,1,53,59,42,51.33333333,0,5133.333333,5133,0.074757282
phage14_1,5,37,2,56,56,54,55.33333333,0,5533.333333,5533,0.080582524
phage14_1,5,37,3,53,57,67,59,0,5900,5900,0.08592233
phage14_1,5,40,1,51,48,45,48,0,4800,4800,0.069902913
phage14_1,5,40,2,52,53,44,49.66666667,0,4966.666667,4967,0.072330097
phage14_1,5,40,3,64,67,57,62.66666667,0,6266.666667,6267,0.091262136
phage14_1,5,42,1,41,61,56,52.66666667,0,5266.666667,5267,0.076699029
phage14_1,5,42,2,50,53,46,49.66666667,0,4966.666667,4967,0.072330097
phage14_1,5,42,3,62,58,52,57.33333333,0,5733.333333,5733,0.083495146
phage14_1,10,37,1,33,28,18,26.33333333,0,2633.333333,2633,0.038349515
phage14_1,10,37,2,46,37,46,43,0,4300,4300,0.062621359
phage14_1,10,37,3,31,36,36,34.33333333,0,3433.333333,3433,0.05
phage14_1,10,40,1,40,51,43,44.66666667,0,4466.666667,4467,0.065048544
phage14_1,10,40,2,41,39,31,37,0,3700,3700,0.053883495
phage14_1,10,40,3,51,48,41,46.66666667,0,4666.666667,4667,0.067961165
phage14_1,10,42,1,37,49,41,42.33333333,0,4233.333333,4233,0.061650485
phage14_1,10,42,2,52,63,61,58.66666667,0,5866.666667,5867,0.085436893
phage14_1,10,42,3,34,25,38,32.33333333,0,3233.333333,3233,0.047087379
phage14_1,15,37,1,35,31,42,36,0,3600,3600,0.052427184
phage14_1,15,37,2,33,30,18,27,0,2700,2700,0.039320388
phage14_1,15,37,3,34,34,32,33.33333333,0,3333.333333,3333,0.048543689
phage14_1,15,40,1,34,33,31,32.66666667,0,3266.666667,3267,0.047572816
phage14_1,15,40,2,35,32,32,33,0,3300,3300,0.048058252
phage14_1,15,40,3,23,23,25,23.66666667,0,2366.666667,2367,0.034466019
phage14_1,15,42,1,50,38,50,46,0,4600,4600,0.066990291
phage14_1,15,42,2,22,30,32,28,0,2800,2800,0.040776699
